title,agoda.com_price,MakeMyTrip.com_price,Trip.com_price
Goroomgo Om Sai Residency Bhubaneswar,"1,599","1,599",
OYO 68832 S&h Residency,"1,066","1,066",
OYO 9564 KIIT University,"1,066","1,417","1,417"
OYO 40638 Hotel Turmeric Leaf,"1,488","1,488","1,417"
CAPITAL O 75732 Hotel Aatithya,"1,650","1,650","1,417"
Jaganath Hotel,"1,200","1,200","1,417"
OYO 28826 Exotic Stay,986,986,"1,417"
OYO 28262 Signature Homes,"1,741","1,741","1,417"
OYO 30149 New Hotel Ashirbad,"1,741","2,804","1,417"
Hotel Suraj Palace,"1,924","1,990",
OYO 23024 Hotel Cinnamon,"1,447","1,447","1,447"
OYO 4877 Moon Light Guest House,"1,063","1,092","1,223"
SilverKey Executive Stays 46859 Ranjan Khandagiri,"1,209","1,209","1,223"
Capital O 61052 Hotel Magnum,"1,200","1,200","1,223"
OYO 39414 Elegant Stay KIIT,986,986,
Feet Up Inn,,"1,470","3,599"
Saikrishna Guest House,523,649,"3,599"
OYO 46648 Avisi Residency,"1,666","1,666","3,599"
OYO 19111 Supriya Guest House,"1,666","1,276","3,599"
OYO 69403 Shiv Sai Palace,"1,063","1,063","3,599"
OYO 5716 Hotel Krishna,"1,671","1,671",
Hotel Richi,"1,671","1,428",
OYO 22624 Bijaya Homes,"1,350","1,350",
Krtatithya,"1,439","1,442","1,549"
OYO 15084 Sai Lotus Residency,"1,375","1,375","1,549"
OYO 14988 Regal Stays,"1,176","1,176","1,549"
OYO Home 39662 Luxury Stay Near Khandagiri Cosmopolis Tower,"1,029","1,029",
Airport Suite Royal Villa,"1,439","1,439",
Moon Light Guest House,"1,439",767,
OYO 11946 Greenland Inn,"1,439",735,
OYO 42364 Elegant,"1,172","1,144",
Excel Home Guest House,"1,172","1,235",
OYO 14505 Regal Stays,"1,676","1,676","1,676"
OYO Townhouse 235 Jayadev Vihar Nayapalli,"1,655","1,655",
OYO 35566 Maa Tarini Homestay,"1,780","1,780",
The Extended Stay 1,,"2,686",
OYO 26622 Ms Plaza,"1,046","1,046",
OYO 73081 Hotel Midnight,"3,130","3,130",
OYO 28138 Morning Star Castle,"2,213","2,213",
Sai Arya Residency,"1,416","2,814",
OYO 65238 Hotel Crystal Stay,"1,975","1,975",
Collection O 50395 Hillside Magnum,"1,173","1,173",
OYO Home 46584 Near Sum Hospital,"1,172","1,144",
Capital O 49194 Hotel Sungreen,"1,714","1,714",
OYO 13924 Shree Gopal Residency,"1,714","1,549","1,689"
The Extended Stay 2,"4,494","4,494",
OYO 10800 Ma Homestay,"1,144","1,178",
Mahavir Guest House & Food Court,"1,144",300,
OYO 13527 Usha Residdency,"1,267","1,176",
Silver Key Executive Stays 60474 My Homes & Hotels,"1,072","1,099",
OYO 37181 Stay Ekante Near AIIMS,"1,355","1,355",
Tranquil Hospitality,,661,
OYO 16821 Hotel Senapati Palace,"11,138","11,133",
OYO 28275 Archie Oasis,"1,500","1,500",
OYO 19602 Omm Residency,"1,063","1,063",
OYO 28685 Hotel Villaggio,"1,519","1,519",
OYO 11659 Kalinga Regency,"1,043","1,043","1,168"
OYO 36704 Hotel Madison,"1,859","1,859","1,168"
Maharaja Guest House,,"1,368","1,168"
OYO 69398 The Midland,"1,641","1,641","1,168"
My Homes & Hotels,"1,200","1,200","1,168"
OYO 13092 The Lavender Blue Homestay,"1,427","1,427",
OYO 29602 Shine Inn,902,902,
WeKare Royal Flats,"2,624","2,624",
UpTech Orchid Flat,"2,636","2,636",
OYO 43422 Ma Forest Park Inn,,"4,362",
OYO 39536 The Atithii,,"2,377",
OYO 29205 Bhubaneswar Pride,,"1,944",
Crystal Urban Park,,"1,897",
Capital O 38021 Hotel Corporate Inn,"1,579","1,579",
Collection O 75388 Red Velvet Premium,"1,400","1,400",
OYO 65491 Hill Town,"1,590","1,590",
OYO 49157 Hotel Sai Heritage,"1,170","2,396",
OYO Home 36560 Desire,"1,144","1,231","1,144"
Collection O 64511 Prime Residency,"1,173","1,173","1,144"
